Date,Open,High,Low,Close,Volume,SMA,open-close,low-high,target
2014-09-17,465.864013671875,468.17401123046875,452.4219970703125,457.3340148925781,21056800,,8.529998779296875,-15.75201416015625,424.44000244140625
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.44000244140625,34483200,,32.41998291015625,-43.7559814453125,394.7959899902344
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700,,29.3070068359375,-43.302978515625,408.90399169921875
2014-09-20,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,36863600,,-14.230987548828125,-33.412994384765625,398.8210144042969
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,26580100,416.8590026855469,9.26397705078125,-19.2449951171875,402.1520080566406
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600,405.8226013183594,-3.052001953125,-9.785980224609375,435.7909851074219
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500,408.0927978515625,-33.698974609375,-45.360015869140625,423.2049865722656
2014-09-24,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,30627700,413.77459716796875,12.5460205078125,-14.980010986328125,411.5740051269531
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400,414.3085998535156,11.582000732421875,-14.052001953125,404.42498779296875
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,21460800,415.42939453125,7.003997802734375,-14.928985595703125,399.5199890136719
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,15029300,414.9029907226562,4.0360107421875,-9.2509765625,377.1809997558594
2014-09-28,399.47100830078125,401.0169982910156,374.3320007324219,377.1809997558594,23613300,403.1809936523438,22.290008544921875,-26.68499755859375,375.4670104980469
2014-09-29,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,32497700,393.6333984375,1.46099853515625,-12.97100830078125,386.9440002441406
2014-09-30,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,34707300,388.7073974609375,-10.855987548828125,-17.53399658203125,383.614990234375
2014-10-01,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,26229400,384.54539794921874,3.81201171875,-10.5989990234375,375.0719909667969
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,21777700,379.6557983398437,8.916015625,-12.550994873046875,359.5119934082031
2014-10-03,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,30901200,376.1219970703125,15.66900634765625,-19.83599853515625,328.8659973144531
2014-10-04,359.8919982910156,364.48699951171875,325.885986328125,328.8659973144531,47236500,366.8017944335937,31.0260009765625,-38.60101318359375,320.510009765625
2014-10-05,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,83308096,353.51499633789064,8.405975341796875,-52.5050048828125,330.0790100097656
2014-10-06,320.3890075683594,345.1340026855469,302.55999755859375,330.0790100097656,79011800,342.80780029296875,-9.69000244140625,-42.574005126953125,336.18701171875
